County,State,Positive_Cases,Deaths,Elderly_pop,Young_pop,WHITE,NON_WHITE,NUM_STAFFED_BEDS,NUM_ICU_BEDS,lat,lon,percent_smokers,percent_adults_with_obesity,percent_uninsured,eightieth_percentile_income,twentieth_percentile_income,percent_adults_with_diabetes,percent_below_poverty,area_sqmi,percent_rural,POP_TOTAL,POP_DENSITY,Positive_Case_Rate,Death_Rate,min_temp,max_temp,mean_temp,wind_speed,precipitation,station_pressure,dewpoint,Positive_Case_Rate_NORM,Death_Rate_NORM,cluster_3,cluster_5
Alcorn,Mississippi,869,11,6965,29988,31592,5361,163,24,34.8808162,-88.580268,19.02484156,35.3,14.39759036,79114,17434,18.6,19.9,400.0405015,66.35183636,36953,92.37314687,0.023516359,0.000297675,49.1,91.16774194,69.50542243,4.022596006,0.165698705,459.9983103,60.38651306,0.166116133,-0.276267513,2,3
Aleutians East Borough,Alaska,14,0,351,2986,705,2632,0,0,55.6854324,-161.24441,16.64681092,50.5,27.86085826,121429,28625,12.6,15.5,6981.956449,100,3337,0.477946264,0.004195385,0,20.28366071,62.56159746,46.49935204,8.58427105,0.084505673,260.7030951,37.56917616,-1.10615298,-0.771217092,1,4
Aleutians West Census Area,Alaska,96,0,419,5215,1912,3722,0,0,53.6677503,-166.89042,15.14282335,44.3,20.23488641,143818,47720,9.8,7.7,4390.257721,100,5634,1.283295961,0.017039404,0,20.28366071,62.56159746,45.81444968,6.159119402,0.084505673,387.4510135,36.4210365,-0.260385646,-0.771217092,1,4
Alexander,Illinois,97,1,1332,4429,3740,2021,0,0,37.1915247,-89.337567,21.55191863,26.2,6.365124847,63894,14944,7.9,33.5,235.5210393,61.85967468,5761,24.46065972,0.016837355,0.000173581,39.07410256,89.44516129,66.50010372,5.177675284,0.06818354,259.2609992,58.41897589,-0.273690395,-0.48260084,1,4
Alexander,North Carolina,571,8,7667,29830,34047,3450,0,0,35.9210329,-81.177026,16.56872447,34.8,13.41074122,88673,19355,18.3,17.4,259.9849373,72.77810635,37497,144.2275864,0.015227885,0.00021335,44.72666667,92.10967742,68.7088172,3.778310292,0.187330605,981.5097235,56.89612903,-0.379672576,-0.416476208,1,4
Alexandria,Virginia,3938,71,19395,140033,106329,53099,339,40,38.81842362,-77.08609715,15.07335765,23.9,11.1264185,184359,44478,6,9.8,15.04936329,0,159428,10593.67077,0.024700805,0.000445342,42.71601666,90.80180755,66.21602714,4.675824905,0.171350714,571.6780902,56.15164016,0.244110859,-0.030738936,2,3
Alfalfa,Oklahoma,81,0,1155,4547,4986,716,0,0,36.7310445,-98.324017,16.86908668,34.8,18.19620253,104778,27481,8.3,12.5,866.454275,100,5702,6.580843519,0.014205542,0,43,95.84,70.46205792,9.281860987,0.104303558,961.1121509,56.71072034,-0.446992962,-0.771217092,1,4
Alger,Michigan,33,0,2393,6715,7710,1398,11,2,46.4062722,-86.602537,17.60893388,25.8,7.63011622,83682,20471,11.2,13.1,915.0757968,69.04489116,9108,9.953273851,0.003623188,0,31.4216173,79.58064516,55.16629658,6.637724651,0.13456645,896.5736804,45.95824496,-1.143831649,-0.771217092,1,4
Allamakee,Iowa,281,8,3212,10475,13154,533,25,5,43.2842901,-91.378059,16.1872113,35,7.927231596,98005,21887,10.6,10.2,639.0815038,73.96371249,13687,21.41667365,0.02053043,0.000584496,32.31764706,82.98064516,59.00551279,5.81763983,0.115393904,973.4740716,50.60661697,-0.03050466,0.200634924,2,3
Allegan,Michigan,859,8,20099,97982,112027,6054,68,11,42.5912811,-85.888444,16.27392233,33.5,5.458730681,105532,28057,8.8,11.7,825.2349363,64.46754273,118081,143.0877376,0.007274667,6.78E-05,31.42727273,86.63870968,60.07004329,6.435190616,0.121771261,903.0121268,48.7804343,-0.903384974,-0.658484812,1,4
Allegany,Maryland,501,23,14471,55945,62142,8274,288,14,39.6214646,-78.698981,16.05171062,36.9,5.877146398,86760,18403,15.2,17.4,424.1606965,27.25238723,70416,166.0125527,0.00711486,0.00032663,40.28571429,87.00645161,61.64012152,4.241112399,0.120160555,855.4874638,51.36674292,-0.913908124,-0.228123514,1,4
Allegany,New York,130,4,9055,37036,44048,2043,69,9,42.2574115,-78.027589,16.55903538,35.9,5.853772757,85765,20579,10.9,17.1,1029.299738,78.73983574,46091,44.7789874,0.002820507,8.68E-05,29.10333333,82.07419355,55.80039747,6.594360599,0.114233487,941.7023157,46.50857335,-1.196687485,-0.62689317,1,4
Alleghany,North Carolina,246,0,3116,8021,10630,507,25,4,36.491296,-81.127919,17.20532183,25.7,18.27916352,74014,16655,11,19.5,234.4029118,100,11137,47.51220842,0.022088534,0,41.47,80.46129032,60.80548387,4.574101382,0.227528723,907.2874194,51.58894009,0.072095115,-0.771217092,1,4
Alleghany,Virginia,81,4,3785,11075,13783,1077,95,10,37.7875112,-80.00679404,16.91467744,35.7,9.858411749,94211,17364,16.6,18.3,445.4651339,52.39384615,14860,33.35839075,0.005450875,0.000269179,35.83333333,83,59.90657911,8.8933149,0.149626984,886.8865968,47.00640323,-1.02348007,-0.323648325,1,4
Allegheny,Pennsylvania,12897,393,235279,980766,971169,244876,6086,638,40.4688365,-79.981197,16.99103887,28.1,4.860700746,118866,22983,9.4,12.7,730.0762973,2.486291718,1216045,1665.640981,0.010605693,0.000323179,36.42666667,90.00645161,62.87034818,6.097608807,0.137635945,970.5120584,50.89634409,-0.684039847,-0.233861554,1,4
Allen,Indiana,6808,219,56584,322715,302000,77299,1621,235,41.0908783,-85.06657,19.77459802,32.3,9.710885433,99467,23886,10.4,15.2,657.3210298,11.87969459,379299,577.0376769,0.0179489,0.000577381,33.4,89.48387097,61.75607527,7.170660522,0.112772657,962.2162135,51.24935484,-0.200496136,0.188804685,1,3
Allen,Kansas,97,1,2594,9775,11446,923,25,4,37.8857181,-95.301384,18.64617197,38.3,9.119138806,79458,18056,17.3,15.4,500.3028314,57.15354125,12369,24.72302618,0.007842186,8.08E-05,41.11823912,93.70322581,68.64600569,7.814357482,0.082026597,970.7775692,55.85935024,-0.866014348,-0.636869478,1,4
Allen,Kentucky,421,9,3851,17464,20614,701,25,4,36.7512572,-86.190421,22.17507484,37.5,7.105587149,82714,18468,12,17,344.3375169,78.6981359,21315,61.90147444,0.019751349,0.000422238,45.83666667,91.20967742,69.12046083,4.519662058,0.152086022,760.8249309,58.51995392,-0.081806458,-0.069154372,1,3
Allen,Louisiana,1713,50,3906,21721,18548,7079,74,7,30.6529342,-92.827926,22.03898763,37,9.327585242,86633,17063,19.2,15.9,761.8116013,69.42244993,25627,33.63955072,0.066843563,0.001951067,55.52,91.4,74.74540694,2.631521225,0.155814567,15.6925125,66.72762734,3.01917434,2.472857113,3,2
Allen,Ohio,1607,72,18509,83842,85200,17151,469,44,40.7715476,-84.105796,20.18441812,34,7.696144446,92663,20627,13.2,16.1,402.4997886,25.89085027,102351,254.2883323,0.015700872,0.000703462,36.46333333,89.31612903,63.21821813,7.590760369,0.142714286,979.9596851,52.41996928,-0.348526799,0.398441832,1,3
Allendale,South Carolina,408,6,1818,6870,2167,6521,25,4,32.9881592,-81.358304,22.22036303,39.9,11.8306146,65184,10582,17,29.7,408.0899641,68.25990978,8688,21.28942332,0.046961326,0.000690608,52.58,94.41935484,73.19578865,4.089122377,0.167386939,71.06793496,62.94613748,1.709946552,0.377069255,2,2
Alpena,Michigan,153,14,6781,21624,27510,895,128,9,45.0347516,-83.626838,17.35694339,33.6,6.152068408,86032,18609,13.7,16.3,571.8654417,51.8278262,28405,49.67077555,0.005386376,0.000492871,25.97,86.4483871,55.90493265,5.883163949,0.131478345,916.1009923,45.85213891,-1.027727273,0.048288388,1,4
Alpine,California,3,0,298,831,767,362,0,0,38.597204,-119.82068,14.45512374,23,7.5669383,125393,29900,6.7,18.9,738.3400102,100,1129,1.529105811,0.002657219,0,27.33,85.21290323,53.29751152,5.115023041,0.017317972,810.5136406,33.80772657,-1.207439856,-0.771217092,1,4
Amador,California,300,16,10945,28807,35636,4116,52,6,38.4463953,-120.6511,10.83218967,29.7,6.195907142,110741,26061,13.8,11.2,594.5714336,60.42372214,39752,66.85824066,0.00754679,0.000402495,39.2,90.87741935,67.23489567,4.839525073,0.028685862,925.6327893,41.63318614,-0.885465914,-0.101981414,1,4
Amelia,Virginia,127,5,2637,10508,10050,3095,0,0,37.33600276,-77.97613563,17.35952497,41.3,13.6003815,119042,24289,14.9,11.6,355.2689615,100,13145,37.0001363,0.009661468,0.000380373,43.11333333,94.17,68.58615885,5.625276949,0.130679571,571.6780902,58.73543146,-0.746216231,-0.138764061,1,4
